id,y
0,75.0
1,74.0
2,70.0
3,74.0
4,79.0
5,64.0
6,55.0
7,73.0
8,72.0
9,55.0
10,80.0
11,81.0
12,69.0
13,78.0
14,70.0
15,66.0
16,76.0
17,82.0
18,75.0
19,66.0
20,67.0
21,73.0
22,82.0
23,50.0
24,72.0
25,63.0
26,80.0
27,68.0
28,49.0
29,63.0
30,63.0
31,72.0
32,94.0
33,64.0
34,61.0
35,79.0
36,69.0
37,71.0
38,61.0
39,70.0
40,76.0
41,75.0
42,73.0
43,66.0
44,87.0
45,48.0
46,68.0
47,67.0
48,69.0
49,82.0
50,76.0
51,76.0
52,64.0
53,57.0
54,85.0
55,77.0
56,68.0
57,77.0
58,85.0
59,68.0
60,80.0
61,60.0
62,67.0
63,66.0
64,72.0
65,51.0
66,85.0
67,72.0
68,68.0
69,80.0
70,80.0
71,74.0
72,59.0
73,48.0
74,78.0
75,67.0
76,65.0
77,59.0
78,77.0
79,74.0
80,67.0
81,89.0
82,52.0
83,86.0
84,61.0
85,69.0
86,81.0
87,54.0
88,73.0
89,71.0
90,80.0
91,67.0
92,63.0
93,69.0
94,66.0
95,55.0
96,68.0
97,75.0
98,63.0
99,60.0
100,69.0
101,66.0
102,73.0
103,79.0
104,85.0
105,84.0
106,73.0
107,72.0
108,69.0
109,82.0
110,65.0
111,72.0
112,79.0
113,67.0
114,55.0
115,49.0
116,74.0
117,65.0
118,62.0
119,71.0
120,68.0
121,56.0
122,69.0
123,44.0
124,70.0
125,73.0
126,57.0
127,66.0
128,53.0
129,70.0
130,78.0
131,71.0
132,49.0
133,91.0
134,71.0
135,74.0
136,79.0
137,65.0
138,65.0
139,76.0
140,76.0
141,69.0
142,69.0
143,62.0
144,72.0
145,69.0
146,45.0
147,68.0
148,73.0
149,83.0
150,80.0
151,53.0
152,64.0
153,75.0
154,79.0
155,71.0
156,68.0
157,70.0
158,96.0
159,86.0
160,68.0
161,81.0
162,69.0
163,87.0
164,78.0
165,76.0
166,73.0
167,62.0
168,61.0
169,65.0
170,59.0
171,64.0
172,60.0
173,73.0
174,73.0
175,72.0
176,62.0
177,79.0
178,80.0
179,80.0
180,74.0
181,88.0
182,46.0
183,65.0
184,63.0
185,87.0
186,79.0
187,68.0
188,67.0
189,70.0
