Id,n_Artifacts,RMSSD,meanNN,sdNN,cvNN,CVSD,medianNN,madNN,mcvNN,pNN50,pNN20,Triang,Shannon_h,ULF,VLF,LF,HF,VHF,Total_Power,LFn,HFn,LF/HF,LF/P,HF/P,DFA_1,Shannon,Sample_Entropy,Correlation_Dimension,Entropy_Multiscale,Entropy_SVD,Entropy_Spectral_VLF,Entropy_Spectral_LF,Entropy_Spectral_HF,Fisher_Info,Lyapunov,FD_Petrosian,FD_Higushi
0,0.000000,20.635078,871.458333,16.995414,0.019502,0.023679,875.000000,15.000000,0.017143,3.125000,25.000000,686679.727910,5.492261,0.000000,0.000000,13480354235.731998,24405121029.437679,4523882886.253223,64388584862.725906,0.355819,0.644181,0.552358,0.209359,0.379029,0.822316,3.726410,inf,0.485179,2.833213,0.091776,0.002554,0.002554,0.002554,0.965079,inf,1.058870,2.462408
1,0.000000,6.733895,753.684211,15.162572,0.020118,0.008935,750.000000,10.000000,0.013333,0.000000,0.000000,444118.598146,5.436039,0.000000,0.000000,23305511781.007751,5082397708.773795,335070156.213005,64281027184.934059,0.820966,0.179034,4.585535,0.362557,0.079065,1.323641,3.501493,1.704748,0.996021,1.558145,0.041056,0.002710,0.002710,0.002710,0.986713,inf,1.028292,2.250969
2,0.322034,199.639276,985.250000,167.258586,0.169763,0.202628,996.666667,141.666667,0.142140,80.000000,92.500000,15351687.354244,5.614710,0.000000,632312404975.868530,3122375937875.722656,2450088233773.846191,74798240779.568726,7837749893244.688477,0.560322,0.439678,1.274393,0.398377,0.312601,0.863676,5.271928,inf,0.729729,2.833213,0.440253,0.109370,0.109370,0.109370,0.735728,inf,1.054490,2.248751
3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,0.000000,15.515822,818.333333,26.820892,0.032775,0.018960,818.333333,20.000000,0.024440,0.000000,20.588235,966195.550372,5.436039,0.000000,0.000000,71554039835.381027,19942655018.629860,2426372086.039813,201021495333.762512,0.782040,0.217960,3.587990,0.355952,0.099207,1.416987,4.160705,1.791759,1.010088,1.871802,0.076544,0.006462,0.006462,0.006462,0.971998,inf,1.042055,2.187167
5,0.068966,95.874294,1009.876543,61.654410,0.061051,0.094937,1013.333333,13.333333,0.013158,37.037037,44.444444,1457170.865082,5.272773,0.000000,0.000000,237241393332.517761,579527658029.080811,61544183873.432465,1319462975560.116455,0.290463,0.709537,0.409370,0.179801,0.439215,0.874974,3.926572,1.526056,1.172428,1.343735,0.266007,0.018928,0.018928,0.018928,0.866301,inf,1.052241,2.703561
6,0.230769,116.428328,992.666667,84.864453,0.085491,0.117288,955.000000,45.000000,0.047120,50.000000,80.000000,811128.531766,5.053286,0.000000,0.000000,0.000000,572433485211.151855,0.000000,1622068732939.916504,0.000000,1.000000,0.000000,0.000000,0.352903,nan,3.321928,inf,0.126373,inf,0.306604,0.032442,0.032442,0.032442,0.838667,inf,1.085990,nan
7,0.068966,71.342439,975.555556,103.721356,0.106320,0.073130,966.666667,83.333333,0.086207,40.740741,66.666667,2370345.945699,5.476855,0.000000,0.000000,436184661112.575439,468052368759.312073,41544717058.804092,2290934861606.866699,0.482379,0.517621,0.931914,0.190396,0.204306,1.226080,4.754888,0.916291,0.522912,1.945910,0.216642,0.048546,0.048546,0.048546,0.897634,inf,1.060654,2.456589
8,0.000000,25.536968,912.345679,67.954326,0.074483,0.027990,926.666667,36.666667,0.039568,3.703704,44.444444,1786527.263512,5.354406,0.000000,0.000000,387775614205.315979,137939545178.229706,957129058.940034,842678141065.302124,0.737615,0.262385,2.811200,0.460170,0.163692,1.550255,4.078419,1.299283,0.894132,inf,0.103875,0.026621,0.026621,0.026621,0.959356,inf,1.035179,1.962835
9,0.111111,9.946091,802.708333,23.007518,0.028662,0.012391,805.000000,18.333333,0.022774,0.000000,0.000000,977355.410564,5.410628,0.000000,0.000000,62111087209.889984,8167033149.083229,1074478842.910943,160223616194.372040,0.883790,0.116210,7.605098,0.387653,0.050973,1.578855,4.027518,2.639057,0.870363,1.609438,0.053891,0.005105,0.005105,0.005105,0.981640,inf,1.058870,2.197580
10,0.000000,5.931710,1149.523810,4.483951,0.003901,0.005160,1150.000000,3.333333,0.002899,0.000000,0.000000,12626.753221,4.841765,0.000000,0.000000,0.000000,0.000000,0.000000,2298055247.318578,nan,nan,nan,0.000000,0.000000,nan,2.235926,inf,-0.000000,inf,0.024955,0.000122,0.000122,0.000122,0.992595,inf,1.058885,nan
11,0.000000,40.892814,871.505376,26.940795,0.030913,0.046922,870.000000,13.333333,0.015326,9.677419,29.032258,1195575.926170,5.094102,0.000000,0.000000,8214460282.399227,71650415687.209686,24985869444.590988,139879070927.529297,0.102854,0.897146,0.114646,0.058725,0.512231,0.768762,3.781147,inf,0.865435,2.197225,0.157519,0.005787,0.005787,0.005787,0.931787,inf,1.040204,2.647711
12,0.000000,15.744880,837.318841,84.639014,0.101083,0.018804,858.333333,71.666667,0.083495,0.000000,19.565217,3262199.273797,5.395222,0.000000,0.000000,838690567878.561279,38903117022.364182,1846049426.069598,1733105488072.020020,0.955671,0.044329,21.558441,0.483924,0.022447,1.726752,5.072369,0.446287,1.102902,1.312186,0.072969,0.045229,0.045229,0.045229,0.973573,inf,1.035222,1.466699
13,0.621622,128.262551,664.047619,90.904087,0.136894,0.193153,646.666667,25.000000,0.038660,35.714286,71.428571,1336022.023481,5.339000,0.000000,0.000000,1038761953559.277832,1721174981491.009766,3404532793.114137,6005757215525.199219,0.376372,0.623628,0.603519,0.172961,0.286588,nan,3.378783,1.098612,0.925552,1.203973,0.427505,0.072336,0.072336,0.072336,0.746357,inf,1.074213,nan
