id,y
0,0.060701672
1,0.059266414
2,0.3014558
3,0.3309896
4,0.82627696
5,0.34741184
6,0.8178838
7,0.23109858
8,0.5275172
9,0.33808136
10,0.38169745
11,0.11504232
12,0.5801239
13,0.25706878
14,0.42671865
15,0.95823395
16,0.26862672
17,0.3828214
18,0.37488505
19,0.92618865
20,0.7350313
21,0.91331446
22,0.2739052
23,0.42130545
24,0.7411249
25,0.7796093
26,0.3165846
27,0.96407974
28,0.4030342
29,0.7898073
30,0.1919776
31,0.25302213
32,0.07451861
33,0.1988355
34,0.7580331
35,0.9382515
36,0.6993028
37,0.73553133
38,0.3098053
39,0.21251749
40,0.45217454
41,0.25712124
42,0.50006926
43,0.84775406
44,0.28885892
45,0.66618365
46,0.47976518
47,0.26620534
48,0.86292714
49,0.7094777
50,0.96269315
51,0.8523299
52,0.32611445
53,0.2431898
54,0.3285789
55,0.3407874
56,0.75032246
57,0.67279845
58,0.8794972
59,0.79750466
60,0.13796307
61,0.3182148
62,0.8792244
63,0.65156585
64,0.8743785
65,0.2904651
66,0.33225548
67,0.62857157
68,0.34803545
